symbol,signal_date,outcome,model_prob,predicted_win,actual_win,mfe5,mae5,days_to_1atr
ACTG,2024-01-30,DEEP_DRAWDOWN,0.02722135518485678,False,False,0.6545689784603828,-2.4000862543547545,-1.0
ACTG,2024-04-11,DEEP_DRAWDOWN,0.36729394910111246,False,False,-0.9389449227798738,-2.738589358107967,-1.0
ACTG,2024-04-02,DEEP_DRAWDOWN,0.4628160311090095,False,False,1.624506505338597,-1.4488841804371304,2.0
ACTG,2024-04-25,WIN,0.5945150003835711,True,True,0.4907859423433529,-0.40155213464456285,6.0
ACTG,2024-05-10,WIN,0.6954717791925403,True,True,2.830131110978366,0.12304917873818727,1.0
ACTG,2024-05-29,DEEP_DRAWDOWN,0.2517825071142092,False,False,1.6899094814568842,-1.985643640711849,3.0
ACTG,2024-07-22,DEEP_DRAWDOWN,0.5877914747942069,True,False,0.9740981937321913,-1.5423221400759641,-3.0
ACTG,2024-07-25,DEEP_DRAWDOWN,0.7874936755382642,True,False,0.5115287080643312,-2.2428566430513164,-5.0
ACTG,2024-09-30,DEEP_DRAWDOWN,0.5293215823415248,True,False,-0.10557538702704994,-2.5338092886492545,-1.0
ACTG,2024-10-30,DEEP_DRAWDOWN,0.5392187491576448,True,False,1.286834888984182,-2.7166514322999458,-1.0
ACTG,2024-11-21,DEEP_DRAWDOWN,0.34114649456997637,False,False,0.7361908402436611,-0.34872197695752405,-7.0
ACTG,2024-12-06,DEEP_DRAWDOWN,0.4760773227364622,False,False,0.48935145103955585,-0.9297677569751405,-8.0
ACTG,2024-12-16,DEEP_DRAWDOWN,0.44203038432149294,False,False,0.3839480874051973,-2.193989070886835,-2.0
ACTG,2025-08-01,DEEP_DRAWDOWN,0.5175827347368669,True,False,1.9804998475963282,-2.452047430357357,1.0
ACTG,2025-12-30,DEEP_DRAWDOWN,0.37897112668907035,False,False,0.6649637898671408,-2.6044415103129643,-3.0
ACTG,2026-01-29,DEEP_DRAWDOWN,0.22207813355401146,False,False,1.503840844927823,-0.6379930857269519,2.0
ACTG,2026-02-11,DEEP_DRAWDOWN,0.08938974478630869,False,False,0.6036640312510998,-1.0865952562519918,-1.0
ACTG,2026-02-06,DEEP_DRAWDOWN,0.15411471806919183,False,False,0.4949626808556923,-2.2273320638506298,-3.0
ACTG,2026-02-26,DEEP_DRAWDOWN,0.17670757980636767,False,False,0.8411198264894616,-1.8084076269523515,-2.0
ACTG,2026-07-07,DEEP_DRAWDOWN,0.13390573573031928,False,False,0.24352291928800002,-1.3637283480127775,-2.0
ACTG,2026-05-07,DEEP_DRAWDOWN,0.4425178251189269,False,False,0.391322303336741,-1.1413567180655009,-2.0
ACTG,2026-05-07,DEEP_DRAWDOWN,0.44423034289888585,False,False,0.391322303336741,-1.1413567180655009,-2.0
ACTG,2026-03-16,DEEP_DRAWDOWN,0.7290204923920502,True,False,1.331460243212321,-0.6294175695185504,2.0
