timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-06-30 01:45:00 PM ET,280.09,280.67,280.05,280.45,2341,277.85346153846154,0.0731502792199689,3.115496834438939,3038.673876088899
2026-06-30 02:00:00 PM ET,280.48,280.905,280.34,280.34,2503,277.98192307692307,-0.0392226778391902,3.1035988976253086,3047.0879147101086
2026-06-30 02:15:00 PM ET,280.325,281.11,280.31,281.11,6235,278.14230769230767,0.2746664764214923,3.145946663832025,3055.3425854451466
2026-06-30 02:30:00 PM ET,281.08,281.27,280.81,281.2,5907,278.28403846153844,0.0320159368218719,3.186710945057557,3064.5766573345763
2026-06-30 02:45:00 PM ET,281.065,281.525,281.065,281.47,6780,278.4382692307692,0.096017069701304,3.249972152508205,3075.0479414802558
2026-06-30 03:00:00 PM ET,281.56,282.08,281.525,281.95,11993,278.5967307692308,0.1705332717518493,3.310172288451237,3085.7743488056717
2026-06-30 03:15:00 PM ET,281.91,282.24,281.425,282.135,16558,278.76153846153846,0.0656144706508321,3.369572713106265,3096.8699547141414
2026-06-30 03:30:00 PM ET,282.125,282.53,281.83,282.205,21142,278.9553846153846,0.0248108175164407,3.4475721602597384,3107.8908695733207
2026-06-30 03:45:00 PM ET,281.89,282.365,281.21,281.22,42852,279.0826923076923,-0.3490370475363491,3.493571897079652,3118.1843543245714
2026-07-01 09:30:00 AM ET,280.37,285.14,279.6,284.97,10722,279.49961538461537,1.333475570727538,3.677320004011682,3131.266351595849
2026-07-01 09:45:00 AM ET,284.59,287.135,284.59,286.515,11337,279.9126923076923,0.5421623328771386,3.859967884352069,3145.3676269877283
2026-07-01 10:00:00 AM ET,286.73,289.96,286.73,289.735,24474,280.4326923076923,1.1238504092281554,4.046020316929359,3161.713727937565
2026-07-01 10:15:00 AM ET,289.65,290.86,288.78,290.025,13313,280.8651923076923,0.1000914628884963,4.222730332272385,3178.036461637739
2026-07-01 10:30:00 AM ET,289.52,290.425,288.23,288.9,12490,281.31,-0.3878975950349139,4.409711672193729,3193.5026214491186
2026-07-01 10:45:00 AM ET,288.18,288.995,287.88,288.78,8980,281.8136538461539,-0.0415368639667734,4.5990516490333215,3208.8339509949074
2026-07-01 11:00:00 AM ET,289.54,290.75,289.28,290.73,11533,282.38615384615383,0.675254519011026,4.780416613853552,3225.6512287047217
2026-07-01 11:15:00 AM ET,291.145,291.92,290.75,291.57,11723,282.88807692307694,0.288927871220701,4.956257996917552,3242.968575460307
2026-07-01 11:30:00 AM ET,291.735,291.735,290.35,291.27,11007,283.39576923076925,-0.1028912439551388,5.123244236680321,3259.943257490367
2026-07-01 11:45:00 AM ET,291.45,293.81,291.33,293.775,10017,283.9682692307692,0.8600267792769678,5.288420384021573,3278.645622374249
2026-07-01 12:00:00 PM ET,293.91,294.37,293.575,293.745,41127,284.53576923076923,-0.0102118968598352,5.449810670704412,3297.199133845575
2026-07-01 12:15:00 PM ET,293.11,293.11,291.93,292.74,23494,285.0823076923077,-0.3421334831231193,5.606160758700024,3314.983389182978
2026-07-01 12:30:00 PM ET,292.85,293.31,292.33,292.33,34273,285.58576923076924,-0.1400560224089742,5.775715028461629,3332.261946395036
2026-07-01 12:45:00 PM ET,292.38,292.855,291.69,291.69,32060,286.05942307692305,-0.2189306605548502,5.950283854362918,3348.981057690859
2026-07-01 01:00:00 PM ET,292.22,292.26,290.745,290.745,7973,286.5032692307692,-0.3239740820734305,6.122245811902015,3365.518988583143
2026-07-01 01:15:00 PM ET,290.85,290.98,290.44,290.7,3726,286.94403846153847,-0.0154774802662127,6.301357241539836,3382.000758183888
2026-07-01 01:30:00 PM ET,290.53,290.66,289.66,289.74,5042,287.3092307692308,-0.3302373581011264,6.53049923060546,3397.7111158194434
2026-07-01 01:45:00 PM ET,289.66,289.66,288.76,288.76,1876,287.6288461538461,-0.3382342790087755,6.749286469995773,3412.668824777451
2026-07-01 02:00:00 PM ET,288.665,288.665,286.695,288.025,8897,287.92442307692306,-0.2545366394237525,6.944110728498824,3428.4709946210505
2026-07-01 02:15:00 PM ET,288.28,288.85,288.245,288.535,3116,288.21,0.1770679628504634,7.114357831514697,3444.334204062333
2026-07-01 02:30:00 PM ET,288.5,288.5,287.75,287.765,5345,288.46250000000003,-0.2668653716187075,7.283412200294778,3460.103008516429
2026-07-01 02:45:00 PM ET,287.96,288.195,287.88,287.905,3464,288.71,0.0486508088196835,7.444231280910317,3476.2529329437916
2026-07-01 03:00:00 PM ET,287.73,287.81,287.25,287.425,6461,288.92057692307696,-0.1667216616592193,7.583133075820617,3492.5483141075356
2026-07-01 03:15:00 PM ET,287.59,287.61,287.22,287.22,6405,289.11615384615385,-0.0713229538140347,7.707802810346052,3508.71277352799
2026-07-01 03:30:00 PM ET,287.55,288.62,287.535,288.62,8103,289.36288461538464,0.487431237378999,7.8435712457956495,3525.533970444274
2026-07-01 03:45:00 PM ET,288.575,288.575,286.01,286.28,30024,289.5575,-0.8107546254590869,7.952747951737042,3540.40940845669
2026-07-02 09:30:00 AM ET,283.49,289.46,282.745,288.53,4449,289.69442307692304,0.7859438312141975,8.022898117544688,3556.50075064581
