symbol,bar_index,date,from_state,to_state,score
LILA,212,2026-03-24,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,216,2026-03-30,WAITING_FOR_DEPARTURE,BREAKOUT_CONFIRMED,
LILA,217,2026-03-31,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,218,2026-04-01,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
LILA,219,2026-04-02,FAILED_BREAKOUT,WAITING_FOR_RETURN,
LILA,224,2026-04-10,WAITING_FOR_RETURN,ACTIVE_RETEST,
LILA,225,2026-04-13,ACTIVE_RETEST,ENTRY_TOO_FAR,
LILA,226,2026-04-14,ENTRY_TOO_FAR,NO_BREAKOUT,
LILA,227,2026-04-15,NO_BREAKOUT,BREAKOUT_CONFIRMED,
LILA,228,2026-04-16,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,235,2026-04-27,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
